category,channel,orders,revenue
Beauty,EMAIL,5,21900.64
Beauty,Email,6,13064.36
Beauty,ORGANIC,5,15467.900000000001
Beauty,Organic,5,15436.78
Beauty,PAID_SOCIAL,2,6825.03
Beauty,Paid_Social,6,10040.02
Beauty,REFERRAL,2,9028.42
Beauty,Referral,1,5828.67
Beauty,SEARCH,6,13223.29
Beauty,Search,10,30807.5
Beauty,email,899,2786659.79
Beauty,organic,583,1748866.1300000001
Beauty,paid_social,897,2551927.8
Beauty,referral,399,1169212.88
Beauty,search,1986,5973721.2
Books,EMAIL,7,18902.06
Books,Email,3,11410.85
Books,ORGANIC,5,12892.77
Books,Organic,2,5981.91
Books,PAID_SOCIAL,3,10863.11
Books,Paid_Social,6,24249.64
Books,REFERRAL,4,16480.06
Books,Referral,2,6638.85
Books,SEARCH,12,29428.41
Books,Search,9,32065.579999999998
Books,email,1159,4341526.83
Books,organic,779,2784304.88
Books,paid_social,1257,4465023.37
Books,referral,536,1967495.54
Books,search,2663,9540595.11
Electronics,EMAIL,4,5583.0
Electronics,Email,3,3994.36
Electronics,ORGANIC,3,3861.51
Electronics,Organic,1,1152.15
Electronics,PAID_SOCIAL,2,4971.23
Electronics,Paid_Social,3,8234.0
Electronics,REFERRAL,2,4782.62
Electronics,Referral,1,4279.3
Electronics,SEARCH,7,12306.89
Electronics,Search,8,9986.6
Electronics,email,800,1949280.0
Electronics,organic,532,1227610.17
Electronics,paid_social,822,1934215.95
Electronics,referral,348,820262.78
Electronics,search,1779,4184311.29
Fashion,EMAIL,7,27687.170000000002
Fashion,Email,4,15258.85
Fashion,ORGANIC,5,14731.57
Fashion,Organic,6,20897.39
Fashion,PAID_SOCIAL,5,19802.239999999998
Fashion,Paid_Social,6,37500.99
Fashion,REFERRAL,1,2245.6499999999996
Fashion,Referral,2,12497.09
Fashion,SEARCH,9,35025.77
Fashion,Search,16,64917.36
Fashion,email,1137,3884107.7199999997
Fashion,organic,747,2582888.05
Fashion,paid_social,1269,4121872.32
Fashion,referral,501,1695031.43
Fashion,search,2706,9089977.1
Home,EMAIL,10,50731.77
Home,Email,9,23889.29
Home,ORGANIC,2,10020.33
Home,Organic,4,11826.83
Home,PAID_SOCIAL,5,10582.76
Home,Paid_Social,4,10262.27
Home,REFERRAL,2,6180.99
Home,Referral,3,4208.08
Home,SEARCH,8,34550.48
Home,Search,6,20420.7
Home,email,1076,3590056.94
Home,organic,703,2378867.32
Home,paid_social,1133,3749863.51
Home,referral,485,1644536.83
Home,search,2370,7933031.07
Sports,EMAIL,3,2582.85
Sports,Email,4,13615.35
Sports,Organic,4,5861.12
Sports,PAID_SOCIAL,7,22400.73
Sports,Paid_Social,5,16618.59
Sports,REFERRAL,2,7196.5199999999995
Sports,Referral,1,4037.69
Sports,SEARCH,11,36791.3
Sports,Search,11,19352.5
Sports,email,1140,3340739.13
Sports,organic,835,2504959.15
Sports,paid_social,1307,3944548.86
Sports,referral,508,1548063.84
Sports,search,2626,8024309.5200000005
