date,channel,total_spend,attributed_orders,attributed_revenue,day_of_week,promo_flag,week_index
2025-07-04,email,19566.32,20.0,123248.3,Friday,1,0
2025-07-04,organic,5380.51,14.0,64098.51,Friday,1,0
2025-07-04,paid_social,157932.61,30.0,152446.28,Friday,1,0
2025-07-04,referral,32210.79,6.0,37622.67,Friday,1,0
2025-07-04,search,188257.71,43.0,243962.18,Friday,1,0
2025-07-05,email,18352.15,14.0,67385.24,Saturday,0,0
2025-07-05,organic,4010.76,11.0,65332.79,Saturday,0,0
2025-07-05,paid_social,130147.97,11.0,49038.96,Saturday,0,0
2025-07-05,referral,32529.45,3.0,21740.03,Saturday,0,0
2025-07-05,search,159676.14,34.0,215296.92,Saturday,0,0
2025-07-06,email,17708.52,16.0,112209.0,Sunday,0,0
2025-07-06,organic,4565.21,4.0,21258.460000000003,Sunday,0,0
2025-07-06,paid_social,126196.48,11.0,55087.57,Sunday,0,0
2025-07-06,referral,29244.95,3.0,17676.21,Sunday,0,0
2025-07-06,search,164394.8,23.0,172437.26,Sunday,0,0
2025-07-07,email,16110.2,16.0,84911.56999999999,Monday,0,0
2025-07-07,organic,3856.91,3.0,29556.18,Monday,0,0
2025-07-07,paid_social,117923.28,15.0,114093.09,Monday,0,0
2025-07-07,referral,29280.44,8.0,57492.23,Monday,0,0
2025-07-07,search,142097.27000000002,38.0,256530.38,Monday,0,0
2025-07-08,email,16823.84,11.0,76576.5,Tuesday,0,0
2025-07-08,organic,3983.4300000000003,7.0,54191.56,Tuesday,0,0
2025-07-08,paid_social,112896.66,12.0,59661.409999999996,Tuesday,0,0
2025-07-08,referral,28023.88,5.0,25856.280000000002,Tuesday,0,0
2025-07-08,search,164299.43,39.0,271316.08999999997,Tuesday,0,0
2025-07-09,email,15581.03,10.0,61879.52,Wednesday,0,0
2025-07-09,organic,4299.44,6.0,35246.53,Wednesday,0,0
2025-07-09,paid_social,103999.9,12.0,48765.58,Wednesday,0,0
2025-07-09,referral,25101.84,6.0,32599.6,Wednesday,0,0
2025-07-09,search,121643.62,21.0,149098.68,Wednesday,0,0
2025-07-10,email,15100.42,8.0,62885.380000000005,Thursday,0,0
2025-07-10,organic,4000.9900000000002,11.0,71387.22,Thursday,0,0
2025-07-10,paid_social,98717.89,10.0,53613.4,Thursday,0,0
2025-07-10,referral,30758.420000000002,4.0,37263.06,Thursday,0,0
2025-07-10,search,132412.64,36.0,227407.78,Thursday,0,0
2025-07-11,email,18312.05,9.0,68278.33,Friday,0,1
2025-07-11,organic,3884.63,11.0,68785.85,Friday,0,1
2025-07-11,paid_social,126939.26,15.0,83897.39,Friday,0,1
2025-07-11,referral,25529.19,2.0,12119.09,Friday,0,1
2025-07-11,search,147756.83000000002,27.0,182009.38999999998,Friday,0,1
2025-07-12,email,17417.079999999998,17.0,142445.56,Saturday,0,1
2025-07-12,organic,3601.62,8.0,33999.35,Saturday,0,1
2025-07-12,paid_social,110709.56999999999,11.0,57923.52,Saturday,0,1
2025-07-12,referral,32635.16,6.0,41736.57,Saturday,0,1
2025-07-12,search,152796.52,25.0,183154.37,Saturday,0,1
2025-07-13,email,21663.329999999998,28.0,200681.59,Sunday,1,1
2025-07-13,organic,5270.34,15.0,88827.56,Sunday,1,1
2025-07-13,paid_social,173139.99,29.0,155421.79,Sunday,1,1
2025-07-13,referral,43413.01,11.0,60513.26,Sunday,1,1
2025-07-13,search,206584.52,39.0,202005.05,Sunday,1,1
2025-07-14,email,16675.129999999997,12.0,91851.85,Monday,0,1
2025-07-14,organic,3758.0,9.0,76230.31,Monday,0,1
2025-07-14,paid_social,121136.74,15.0,71035.84,Monday,0,1
2025-07-14,referral,26919.32,4.0,25599.18,Monday,0,1
2025-07-14,search,131384.79,31.0,227526.94999999998,Monday,0,1
2025-07-15,email,14510.97,9.0,47652.98,Tuesday,0,1
2025-07-15,organic,4215.09,8.0,47813.509999999995,Tuesday,0,1
2025-07-15,paid_social,114105.85,13.0,58197.76,Tuesday,0,1
2025-07-15,referral,24761.54,8.0,43265.96,Tuesday,0,1
2025-07-15,search,142963.8,39.0,241289.53,Tuesday,0,1
2025-07-16,email,15747.42,9.0,68926.73999999999,Wednesday,0,1
2025-07-16,organic,4215.59,5.0,25719.7,Wednesday,0,1
2025-07-16,paid_social,117526.5,8.0,44310.84,Wednesday,0,1
2025-07-16,referral,29653.21,3.0,24888.870000000003,Wednesday,0,1
2025-07-16,search,110627.47,21.0,136807.67,Wednesday,0,1
2025-07-17,email,14927.800000000001,7.0,22932.77,Thursday,0,1
2025-07-17,organic,3811.99,10.0,52966.86,Thursday,0,1
2025-07-17,paid_social,119941.52,20.0,83357.7,Thursday,0,1
2025-07-17,referral,28436.7,4.0,36800.97,Thursday,0,1
2025-07-17,search,174418.03,39.0,302923.89,Thursday,0,1
2025-07-18,email,16103.81,12.0,88183.89,Friday,0,2
2025-07-18,organic,4161.18,9.0,68742.66,Friday,0,2
2025-07-18,paid_social,114297.72,12.0,49624.03,Friday,0,2
2025-07-18,referral,32166.12,6.0,40339.64,Friday,0,2
2025-07-18,search,179857.0,38.0,358862.63,Friday,0,2
2025-07-19,email,17858.19,9.0,46926.04,Saturday,0,2
2025-07-19,organic,4365.1900000000005,11.0,74987.37,Saturday,0,2
2025-07-19,paid_social,126266.34,17.0,106311.41,Saturday,0,2
2025-07-19,referral,33482.46,9.0,70085.70999999999,Saturday,0,2
2025-07-19,search,143372.95,36.0,243225.74,Saturday,0,2
2025-07-20,email,19055.82,19.0,97841.77,Sunday,0,2
2025-07-20,organic,3718.44,19.0,85802.86,Sunday,0,2
2025-07-20,paid_social,151109.04,13.0,166780.07,Sunday,0,2
2025-07-20,referral,32120.98,4.0,16313.380000000001,Sunday,0,2
2025-07-20,search,187189.37,28.0,196025.93,Sunday,0,2
2025-07-21,email,15359.34,11.0,91613.58,Monday,0,2
2025-07-21,organic,4137.04,10.0,53862.78,Monday,0,2
2025-07-21,paid_social,134805.76,9.0,47969.45,Monday,0,2
2025-07-21,referral,27835.2,1.0,7162.02,Monday,0,2
2025-07-21,search,141601.0,28.0,267506.96,Monday,0,2
2025-07-22,email,15275.43,7.0,22785.99,Tuesday,0,2
2025-07-22,organic,3957.68,10.0,66644.02,Tuesday,0,2
2025-07-22,paid_social,108876.66,10.0,49967.479999999996,Tuesday,0,2
2025-07-22,referral,25894.97,3.0,19385.84,Tuesday,0,2
2025-07-22,search,133407.05,41.0,264366.66,Tuesday,0,2
2025-07-23,email,18267.97,19.0,102849.15000000001,Wednesday,0,2
2025-07-23,organic,3919.15,2.0,11839.130000000001,Wednesday,0,2
2025-07-23,paid_social,117877.34,18.0,87221.74,Wednesday,0,2
2025-07-23,referral,30119.83,4.0,29840.38,Wednesday,0,2
2025-07-23,search,145621.53,14.0,72843.77,Wednesday,0,2
